Student_Name,School_Name,Area_Type,Gender,Caste,Standard,Age,Year,District,Dropout_Status,Dropout_Reason,Parental_Education,Family_Income,Prev_Academic_Performance,Attendance_Record,Teacher_Student_Ratio,Distance_km
Reyansh Desai,Freedom International School,Rural,Female,OBC,9,14,2024,Ballari,Enrolled,Not applicable,Post-Graduate,50000,67.74,92.89,45.8,9.77
Aryan Joshi,Jain International School,Urban,Female,SC,3,8,2018,Dharwad,Enrolled,Not applicable,No Schooling,25000,67.74,90.125,48.6,0.98
Ira Kumar,Assisi Central School,Semi-Urban,Male,SC,8,13,2024,Dakshina Kannada,Dropout,Bullying,Primary,10000,52.757,79.65,29.4,0.5
Aarav Shetty,New Oxford School,Urban,Male,SC,3,8,2021,Tumakuru,Enrolled,Not applicable,No Schooling,25000,67.74,90.125,23.7,0.27
Aadhya Nair,Delhi Public School,Semi-Urban,Female,General,7,12,2023,Dharwad,Enrolled,Not applicable,No Schooling,100000,76.86,97.64,21.5,1.89
Shreya Pai,Delhi Public School,Rural,Female,SC,2,7,2024,Udupi,Enrolled,Not applicable,Secondary,25000,67.74,90.125,40.7,6.74
Meera Nair,Mount Litera Zee School,Semi-Urban,Male,OBC,2,7,2023,Dakshina Kannada,Enrolled,Financial hardship,Primary,50000,45,79.65,41.2,0.88
Sara Shetty,National Public School,Semi-Urban,Male,ST,2,7,2020,Tumakuru,Dropout,Migration,Secondary,25000,52.757,79.65,46.4,1.74
Harsh Chopra,Delhi Public School,Semi-Urban,Female,General,9,14,2020,Mysuru,Dropout,Health issues,Secondary,50000,52.757,67.69,22.2,1.07
Tanvi Das,New Oxford School,Urban,Male,ST,4,9,2022,Shivamogga,Dropout,Child Labour,Primary,25000,52.757,69.64,48.6,1.08
Vivaan Rao,Maharishi Public School,Semi-Urban,Male,OBC,6,11,2022,Dharwad,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.125,31.9,2.28
Shreya Naik,National Public School,Semi-Urban,Female,OBC,10,15,2019,Tumakuru,Dropout,Financial hardship,No Schooling,25000,52.757,79.65,44.9,2.69
Riya Kumar,National Public School,Urban,Male,SC,3,8,2023,Udupi,Enrolled,Not applicable,Secondary,50000,67.74,90.125,37.2,1.16
Anvi Chopra,Assisi Central School,Rural,Male,SC,10,15,2022,Ballari,Enrolled,Not applicable,Primary,100000,70.03,90.125,43.4,5.94
Ayush Pandey,National Public School,Rural,Female,OBC,4,9,2022,Dharwad,Enrolled,Not applicable,Secondary,10000,67.74,90.125,35.6,6.34
Sneha Pai,New Oxford School,Semi-Urban,Female,OBC,3,8,2018,Bengaluru Urban,Enrolled,Long distance to school,Higher Secondary,100000,52.757,79.65,20.8,0.53
Ishaan Ghosh,Assisi Central School,Rural,Female,SC,6,11,2021,Dharwad,Dropout,Family responsibilities,Primary,60000,52.757,79.65,28.6,1.34
Sneha Roy,PES Public School,Semi-Urban,Male,General,10,15,2018,Belagavi,Enrolled,Not applicable,Secondary,50000,67.74,90.125,40.9,0.48
Kabir Seth,Mount Litera Zee School,Semi-Urban,Female,SC,1,6,2018,Dakshina Kannada,Enrolled,Not applicable,Post-Graduate,25000,67.74,90.125,31.3,0.63
Harsh Pandey,Maharishi Public School,Rural,Male,OBC,2,7,2023,Shivamogga,Enrolled,Financial hardship,Post-Graduate,15000,52.757,79.65,48.4,6.15
Vivaan Singh,Delhi Public School,Semi-Urban,Female,OBC,9,14,2024,Ballari,Dropout,Health issues,Primary,50000,52.757,79.65,23.4,0.28
Shreya Gowda,New Oxford School,Urban,Male,SC,9,14,2022,Ballari,Dropout,Migration,No Schooling,10000,52.757,79.65,42,2.34
Ishaan Naik,Assisi Central School,Rural,Male,General,8,13,2019,Dharwad,Enrolled,Not applicable,Graduate,10000,81.02,90.125,37.5,6.46
Sneha Kulkarni,PES Public School,Urban,Male,General,7,12,2024,Bengaluru Urban,Enrolled,Not applicable,Post-Graduate,15000,72.11,90.125,20,2.34
Pari Gowda,National Public School,Urban,Female,SC,7,12,2023,Bengaluru Urban,Enrolled,Financial hardship,Higher Secondary,25000,52.757,76.39,42.7,2.66
Saanvi Sharma,Mount Litera Zee School,Urban,Female,OBC,1,6,2018,Bengaluru Rural,Enrolled,Family Issues,Secondary,50000,52.757,79.65,40.6,1.33
Sara Reddy,Maharishi Public School,Rural,Female,ST,7,12,2022,Belagavi,Enrolled,Other,Graduate,25000,52.757,79.65,48.9,3.42
Reyansh Shetty,National Public School,Rural,Male,OBC,10,15,2022,Dharwad,Enrolled,Not applicable,Secondary,100000,67.74,90.95,31.2,1.35
Meera Pandey,National Public School,Semi-Urban,Male,General,1,6,2024,Udupi,Enrolled,Not applicable,No Schooling,60000,67.74,90.125,42.3,1.29
Aditya Nair,Assisi Central School,Rural,Male,OBC,9,14,2019,Udupi,Dropout,Child Labour,Secondary,10000,27.7,75.35,21.2,9.57
Aarav Roy,Delhi Public School,Rural,Female,ST,1,6,2018,Dakshina Kannada,Enrolled,Not applicable,Primary,10000,67.74,90.125,32.9,7.09
Diya Sen,Maharishi Public School,Semi-Urban,Male,General,5,10,2023,Mysuru,Dropout,Family responsibilities,Higher Secondary,100000,50.66,79.65,30.4,2.34
Ira Jain,Freedom International School,Urban,Female,SC,8,13,2020,Bengaluru Urban,Enrolled,Not applicable,Higher Secondary,50000,70.82,90.125,32.3,1.31
Pari Pandey,Freedom International School,Rural,Female,OBC,5,10,2021,Dakshina Kannada,Enrolled,Bullying,Higher Secondary,10000,50.13,79.65,31.8,6.83
Aryan Ghosh,PES Public School,Semi-Urban,Female,SC,3,8,2024,Dharwad,Enrolled,Not applicable,No Schooling,25000,67.74,90.125,44.1,2.03
Mira Patil,Freedom International School,Rural,Male,General,6,11,2022,Ballari,Enrolled,Not applicable,Higher Secondary,15000,67.74,93.79,24.7,6.43
Vivaan Pai,Freedom International School,Urban,Female,OBC,1,6,2024,Dharwad,Enrolled,Not applicable,Higher Secondary,15000,67.74,90.125,34.1,1.35
Diya Mehta,PES Public School,Semi-Urban,Female,ST,9,14,2018,Mysuru,Dropout,Child Labour,Higher Secondary,60000,43.98,79.65,31.8,0.15
Sara Kumar,PES Public School,Urban,Male,General,3,8,2020,Shivamogga,Enrolled,Family responsibilities,Secondary,15000,52.757,79.65,35.5,2.43
Ishaan Sen,Jain International School,Rural,Female,OBC,3,8,2023,Belagavi,Dropout,Family responsibilities,Primary,25000,52.757,79.65,42.2,3.19
Ira Aggarwal,Freedom International School,Urban,Male,ST,8,13,2018,Dakshina Kannada,Enrolled,Not applicable,Primary,10000,79.76,90.125,48.7,2.82
Riya Kulkarni,Sri Taralabalu Central School,Semi-Urban,Male,General,4,9,2024,Udupi,Enrolled,Poverty,No Schooling,50000,52.757,79.65,37.3,1
Arjun Gowda,Jain International School,Semi-Urban,Male,SC,1,6,2021,Belagavi,Enrolled,Not applicable,No Schooling,15000,67.74,93.97,39.9,1.16
Anvi Chatterjee,Mount Litera Zee School,Semi-Urban,Female,OBC,8,13,2023,Bengaluru Rural,Dropout,Poverty,Graduate,10000,52.757,79.65,24.9,0.25
Arjun Mehta,Freedom International School,Rural,Female,SC,1,6,2019,Belagavi,Dropout,Financial hardship,Primary,10000,52.757,75.48,45.5,1.18
Aditya Pandey,Maharishi Public School,Urban,Female,General,10,15,2019,Tumakuru,Dropout,Migration,Secondary,10000,52.757,79.65,36.5,0.23
Reyansh Rao,Jain International School,Semi-Urban,Male,ST,9,14,2024,Tumakuru,Dropout,Long distance to school,No Schooling,25000,52.757,79.65,46.7,2.57
Sneha Roy,Delhi Public School,Rural,Female,SC,6,11,2022,Tumakuru,Enrolled,Not applicable,Secondary,60000,67.74,99.64,44.3,5.76
Tanvi Gowda,Assisi Central School,Semi-Urban,Female,General,8,13,2018,Belagavi,Enrolled,Not applicable,Graduate,50000,67.74,90.52,41.5,1.15
Aadhya Banerjee,PES Public School,Rural,Female,OBC,5,10,2018,Dharwad,Enrolled,Not applicable,No Schooling,10000,67.74,92.6,47.7,8.8
Vivaan Jain,Freedom International School,Urban,Male,General,6,11,2019,Udupi,Enrolled,Other,Post-Graduate,10000,25.56,73.83,36,0.92
Vivaan Desai,Jain International School,Semi-Urban,Male,ST,3,8,2019,Shivamogga,Enrolled,Not applicable,Higher Secondary,10000,74.81,90.125,42.7,2.11
Aryan Desai,Jain International School,Semi-Urban,Female,General,6,11,2023,Ballari,Enrolled,Not applicable,No Schooling,50000,67.74,90.125,26.1,2.46
Pari Das,PES Public School,Semi-Urban,Male,SC,10,15,2021,Dakshina Kannada,Enrolled,Not applicable,Primary,10000,67.74,96.54,49.5,0.39
Pari Patil,Delhi Public School,Rural,Male,SC,8,13,2021,Udupi,Enrolled,Not applicable,Secondary,25000,68.19,90.125,21.2,6.44
Ayush Jain,Freedom International School,Urban,Female,ST,7,12,2021,Tumakuru,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.125,20.6,1.61
Ayush Sharma,Mount Litera Zee School,Rural,Male,OBC,7,12,2022,Dharwad,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.125,45.4,1.66
Anaya Gowda,New Oxford School,Semi-Urban,Female,ST,8,13,2022,Shivamogga,Enrolled,Not applicable,Primary,10000,81.34,90.125,21.2,0.8
Ayush Aggarwal,Jain International School,Rural,Female,General,9,14,2024,Dakshina Kannada,Enrolled,Not applicable,Graduate,10000,67.74,90.125,25.8,9.9
Ira Shetty,Jain International School,Semi-Urban,Male,ST,6,11,2023,Dakshina Kannada,Enrolled,Not applicable,Secondary,60000,67.74,90.74,34.6,0.26
Anaya Sen,Assisi Central School,Rural,Male,SC,4,9,2022,Dakshina Kannada,Dropout,Bullying,Graduate,25000,27.72,79.65,36.2,8.87
Meera Kulkarni,Sri Taralabalu Central School,Urban,Female,General,8,13,2018,Dharwad,Enrolled,Family Issues,Primary,15000,52.757,79.65,48.8,2
Anvi Bhat,Mount Litera Zee School,Urban,Male,OBC,5,10,2018,Tumakuru,Enrolled,Poverty,Higher Secondary,25000,52.757,75.95,48.4,1.42
Harsh Chopra,Mount Litera Zee School,Urban,Male,General,5,10,2022,Udupi,Enrolled,Poverty,Primary,10000,41.83,72.2,24,2.36
Anvi Kumar,Sri Taralabalu Central School,Rural,Male,SC,10,15,2021,Ballari,Dropout,Child Labour,No Schooling,10000,52.757,79.65,22.6,5.84
Sneha Jain,Jain International School,Urban,Male,General,2,7,2021,Bengaluru Rural,Enrolled,Not applicable,Post-Graduate,50000,74.48,90.125,36.8,1.13
Ira Roy,Freedom International School,Rural,Male,ST,8,13,2023,Bengaluru Urban,Enrolled,Not applicable,Higher Secondary,15000,67.74,90.125,42.2,1.06
Vivaan Pai,New Oxford School,Semi-Urban,Male,General,8,13,2023,Udupi,Enrolled,Not applicable,Secondary,60000,71.91,90.125,25.9,2.94
Kabir Bhat,Assisi Central School,Rural,Female,OBC,5,10,2023,Tumakuru,Enrolled,Not applicable,Graduate,100000,67.74,90.125,38.2,8.23
Reyansh Rao,Maharishi Public School,Urban,Male,ST,3,8,2022,Mysuru,Enrolled,Not applicable,Secondary,25000,100,90.125,45.2,2.52
Saanvi Iyer,Sri Taralabalu Central School,Rural,Male,General,4,9,2024,Tumakuru,Enrolled,Not applicable,Graduate,10000,96.19,90.125,47.6,1.96
Ishaan Mehta,Mount Litera Zee School,Urban,Male,ST,10,15,2022,Shivamogga,Dropout,Long distance to school,No Schooling,10000,52.757,75.4,33.3,0.47
Ayush Patil,Sri Taralabalu Central School,Semi-Urban,Female,SC,5,10,2019,Bengaluru Urban,Enrolled,Not applicable,Graduate,60000,67.74,97.96,24.5,0.62
Sneha Roy,Assisi Central School,Urban,Male,ST,5,10,2022,Belagavi,Enrolled,Not applicable,No Schooling,60000,67.74,95.72,43,0.35
Sara Gupta,PES Public School,Urban,Male,ST,8,13,2022,Tumakuru,Enrolled,Migration,Primary,100000,52.757,79.65,28.6,1.04
Anaya Das,Jain International School,Urban,Female,ST,5,10,2022,Dharwad,Enrolled,Not applicable,Primary,100000,67.74,90.125,40.5,2.04
Aadhya Gowda,Freedom International School,Urban,Male,ST,6,11,2023,Bengaluru Rural,Enrolled,Not applicable,Graduate,15000,67.74,90.125,27,1.94
Riya Aggarwal,New Oxford School,Urban,Male,General,8,13,2023,Shivamogga,Dropout,Migration,No Schooling,10000,52.757,79.65,31.3,2.64
Kabir Nair,Freedom International School,Urban,Male,ST,4,9,2018,Tumakuru,Enrolled,Not applicable,Primary,60000,69.57,90.125,38.8,0.31
Sara Mehta,Mount Litera Zee School,Semi-Urban,Male,General,9,14,2022,Ballari,Enrolled,Not applicable,No Schooling,10000,67.74,90.125,38.8,0.16
Ishaan Desai,National Public School,Semi-Urban,Male,OBC,10,15,2019,Bengaluru Urban,Enrolled,Other,No Schooling,10000,52.757,79.65,30.7,1.67
Dhruv Das,Sri Taralabalu Central School,Urban,Male,SC,10,15,2018,Mysuru,Enrolled,Other,Higher Secondary,25000,52.757,67.96,27.2,2.97
Ira Roy,Sri Taralabalu Central School,Urban,Female,General,1,6,2022,Bengaluru Urban,Enrolled,Not applicable,Higher Secondary,60000,71.05,90.125,22.7,2.55
Harsh Pandey,Freedom International School,Urban,Female,General,9,14,2022,Dharwad,Dropout,Lack of interest,Graduate,10000,52.757,79.65,48.3,2.61
Riya Seth,PES Public School,Urban,Female,General,4,9,2023,Udupi,Dropout,Poverty,Primary,25000,30.31,77.81,37.9,1.78
Anaya Nair,Jain International School,Rural,Female,ST,6,11,2023,Dakshina Kannada,Enrolled,Not applicable,Higher Secondary,60000,67.74,90.125,35.1,5.77
Shreya Reddy,Delhi Public School,Urban,Female,ST,7,12,2021,Dakshina Kannada,Enrolled,Not applicable,Graduate,10000,67.74,90.125,38.9,2.73
Priya Pandey,Sri Taralabalu Central School,Semi-Urban,Male,General,8,13,2018,Ballari,Enrolled,Lack of interest,Primary,60000,40.2,79.65,32.6,1.34
Aarav Roy,National Public School,Rural,Male,General,3,8,2020,Bengaluru Rural,Enrolled,Not applicable,Primary,15000,67.74,90.125,34.6,2.52
Meera Iyer,Sri Taralabalu Central School,Urban,Female,ST,8,13,2019,Belagavi,Dropout,Other,Higher Secondary,25000,52.757,75.34,40.6,2.47
Riya Sharma,Jain International School,Semi-Urban,Female,ST,1,6,2024,Bengaluru Urban,Enrolled,Bullying,Higher Secondary,50000,52.757,78.23,42.8,2.68
Aditya Joshi,Jain International School,Urban,Male,ST,6,11,2024,Bengaluru Rural,Enrolled,Not applicable,Primary,10000,67.74,90.84,38.1,1.21
Anaya Chopra,Mount Litera Zee School,Semi-Urban,Female,SC,3,8,2019,Udupi,Enrolled,Not applicable,Secondary,10000,67.74,90.125,45.1,1.36
Tanvi Bhat,PES Public School,Rural,Male,General,6,11,2024,Udupi,Enrolled,Not applicable,Secondary,15000,83,98.31,20.5,1.7
Saanvi Patil,Jain International School,Urban,Male,ST,8,13,2019,Shivamogga,Enrolled,Poverty,Higher Secondary,15000,52.757,77.58,21.4,1.94
Arjun Kumar,Jain International School,Semi-Urban,Male,ST,8,13,2023,Ballari,Enrolled,Child Labour,Primary,60000,52.757,79.65,49.5,0.25
Anaya Patil,PES Public School,Urban,Female,SC,4,9,2020,Udupi,Enrolled,Not applicable,Secondary,15000,79.82,90.125,21,2.27
Anvi Desai,Mount Litera Zee School,Semi-Urban,Female,OBC,8,13,2019,Udupi,Enrolled,Not applicable,Primary,25000,83.24,90.125,35.1,0.15
Laksh Sharma,PES Public School,Rural,Female,SC,8,13,2021,Dakshina Kannada,Dropout,Bullying,Secondary,15000,52.757,79.65,43.5,9.21
Aarav Sen,Assisi Central School,Urban,Male,General,4,9,2022,Dakshina Kannada,Dropout,Long distance to school,Higher Secondary,10000,52.757,73.52,27.2,1.21
Sneha Naik,New Oxford School,Rural,Male,OBC,7,12,2019,Shivamogga,Enrolled,Not applicable,Secondary,15000,67.74,90.125,44.9,6.21
Harsh Joshi,Jain International School,Rural,Female,ST,6,11,2018,Bengaluru Urban,Enrolled,Not applicable,Post-Graduate,60000,88.52,90.125,31.8,9.87
Krishna Gupta,Maharishi Public School,Rural,Male,ST,3,8,2018,Dharwad,Enrolled,Financial hardship,No Schooling,60000,38.64,73.03,48.9,1.16
Aadhya Mehta,National Public School,Urban,Male,OBC,8,13,2024,Bengaluru Rural,Dropout,Poverty,Primary,10000,52.757,72.24,35.3,1.04
Riya Mehta,PES Public School,Rural,Female,General,2,7,2023,Belagavi,Enrolled,Other,Primary,15000,50.29,79.65,43.1,2.28
Saanvi Banerjee,Maharishi Public School,Semi-Urban,Male,ST,9,14,2020,Dharwad,Enrolled,Not applicable,Primary,60000,67.74,90.125,39.3,1.36
Aditya Seth,Jain International School,Semi-Urban,Male,ST,5,10,2022,Dharwad,Enrolled,Other,Post-Graduate,50000,52.757,79.65,36,0.68
Arjun Desai,PES Public School,Semi-Urban,Male,ST,9,14,2023,Udupi,Dropout,Lack of interest,Higher Secondary,100000,52.757,79.65,42.8,0.33
Aditya Gowda,Maharishi Public School,Urban,Male,OBC,6,11,2023,Belagavi,Enrolled,Other,Higher Secondary,10000,52.757,71.33,23.3,0.21
Riya Shetty,Maharishi Public School,Semi-Urban,Male,SC,1,6,2019,Bengaluru Rural,Enrolled,Not applicable,Primary,25000,67.74,93.42,32.7,0.79
Aryan Naik,New Oxford School,Rural,Male,ST,3,8,2022,Shivamogga,Enrolled,Not applicable,Secondary,50000,67.74,90.125,27.2,7.17
Anvi Banerjee,Sri Taralabalu Central School,Urban,Male,SC,10,15,2024,Dakshina Kannada,Enrolled,Not applicable,Post-Graduate,50000,67.74,91.4,29.5,1.44
Dhruv Reddy,Jain International School,Rural,Female,SC,6,11,2023,Dakshina Kannada,Enrolled,Not applicable,Graduate,100000,67.74,90.125,42.5,1.36
Mira Naik,Delhi Public School,Rural,Male,SC,10,15,2022,Bengaluru Urban,Dropout,Lack of interest,Secondary,10000,45.01,79.65,27.5,4.79
Ishaan Shetty,Delhi Public School,Urban,Female,SC,1,6,2019,Tumakuru,Enrolled,Child Labour,Primary,25000,52.757,79.65,31.2,2.74
Aarav Aggarwal,Mount Litera Zee School,Urban,Male,SC,10,15,2024,Udupi,Enrolled,Not applicable,Secondary,50000,78.06,90.53,35.8,1.53
Riya Rao,Assisi Central School,Semi-Urban,Male,General,3,8,2023,Dharwad,Dropout,Child Labour,Secondary,10000,52.757,79.65,39,2.06
Vihaan Joshi,Assisi Central School,Rural,Female,SC,1,6,2023,Belagavi,Dropout,Health issues,No Schooling,60000,52.757,78.91,36.4,2.48
Arjun Gupta,Freedom International School,Semi-Urban,Male,General,5,10,2020,Udupi,Dropout,Financial hardship,Higher Secondary,10000,44.06,74.1,35.1,1.21
Tanvi Sharma,Delhi Public School,Rural,Female,General,6,11,2022,Udupi,Enrolled,Not applicable,No Schooling,10000,89.89,90.125,38.2,7.49
Riya Naik,Assisi Central School,Urban,Male,OBC,4,9,2022,Bengaluru Rural,Enrolled,Child Labour,Secondary,50000,52.757,79.65,41.9,2.39
Harsh Patil,Assisi Central School,Semi-Urban,Male,General,3,8,2020,Shivamogga,Dropout,Long distance to school,Graduate,25000,52.757,79.65,31.3,1.16
Arjun Bhat,Delhi Public School,Rural,Male,OBC,4,9,2024,Tumakuru,Enrolled,Other,Primary,50000,49.36,79.65,38.3,4.82
Tanvi Nair,Freedom International School,Rural,Male,SC,6,11,2020,Bengaluru Urban,Enrolled,Not applicable,Secondary,25000,67.74,90.125,29.3,5.19
Krishna Das,Mount Litera Zee School,Semi-Urban,Male,SC,6,11,2024,Tumakuru,Dropout,Other,Secondary,10000,52.757,79.65,21.9,0.71
Ishaan Das,Delhi Public School,Urban,Female,ST,2,7,2023,Udupi,Enrolled,Not applicable,Secondary,10000,67.74,90.125,23.2,0.29
Rohan Nair,Mount Litera Zee School,Semi-Urban,Female,ST,3,8,2023,Belagavi,Dropout,Migration,Primary,25000,52.757,79.65,23.5,0.47
Anaya Pai,Maharishi Public School,Rural,Male,OBC,9,14,2020,Belagavi,Enrolled,Not applicable,Higher Secondary,10000,77.1,90.125,46,4.39
Aarav Pandey,Delhi Public School,Semi-Urban,Female,SC,7,12,2024,Udupi,Enrolled,Not applicable,Higher Secondary,50000,67.74,90.125,32.8,2.27
Vivaan Patil,Freedom International School,Rural,Female,ST,10,15,2024,Dakshina Kannada,Enrolled,Not applicable,Post-Graduate,100000,73.26,90.125,34.1,9.35
Aarav Reddy,Mount Litera Zee School,Urban,Male,OBC,8,13,2024,Mysuru,Enrolled,Not applicable,Graduate,50000,76.89,90.125,24.4,2.44
Arjun Aggarwal,Jain International School,Urban,Male,SC,6,11,2022,Shivamogga,Enrolled,Poverty,Secondary,50000,41.69,79.65,38,1.8
Anaya Naik,National Public School,Rural,Male,OBC,7,12,2019,Bengaluru Urban,Enrolled,Child Labour,Graduate,10000,44.85,62.53,28.5,8.45
Sneha Sen,National Public School,Rural,Male,ST,9,14,2024,Ballari,Enrolled,Long distance to school,No Schooling,50000,24.56,79.65,26.4,8.81
Tanvi Bhat,Assisi Central School,Rural,Male,SC,8,13,2024,Ballari,Dropout,Child Labour,Primary,10000,52.757,63.79,35.1,5.81
Riya Mehta,Maharishi Public School,Semi-Urban,Female,General,8,13,2023,Dakshina Kannada,Dropout,Health issues,Primary,10000,52.757,79.65,45.2,2.26
Rohan Iyer,Maharishi Public School,Semi-Urban,Male,ST,10,15,2018,Ballari,Enrolled,Bullying,No Schooling,10000,52.757,79.65,29.8,2.74
Aadhya Kumar,Assisi Central School,Semi-Urban,Male,SC,10,15,2024,Tumakuru,Enrolled,Migration,Higher Secondary,10000,52.757,79.65,37.3,1.63
Sneha Patil,Delhi Public School,Urban,Female,OBC,8,13,2020,Tumakuru,Dropout,Financial hardship,Primary,25000,35.35,76.03,27.9,0.23
Riya Chatterjee,Mount Litera Zee School,Semi-Urban,Male,General,8,13,2024,Ballari,Dropout,Migration,Secondary,100000,52.757,79.65,22.1,0.25
Dhruv Seth,Delhi Public School,Urban,Male,General,1,6,2021,Udupi,Dropout,Poverty,No Schooling,25000,52.757,79.65,26,1.65
Vihaan Bhat,Freedom International School,Urban,Male,OBC,10,15,2022,Mysuru,Enrolled,Not applicable,Secondary,25000,67.74,90.43,34,1.27
Aarav Joshi,Sri Taralabalu Central School,Rural,Male,ST,4,9,2024,Belagavi,Dropout,Health issues,Graduate,15000,52.757,79.65,40.4,7.41
Rohan Patil,Jain International School,Rural,Female,General,3,8,2021,Tumakuru,Dropout,Other,Higher Secondary,60000,52.757,79.65,43.8,9.69
Shreya Rao,National Public School,Rural,Male,ST,4,9,2019,Belagavi,Enrolled,Not applicable,Primary,25000,67.74,90.125,29.8,9.86
Arjun Banerjee,National Public School,Semi-Urban,Female,ST,2,7,2021,Udupi,Enrolled,Other,Primary,15000,52.757,79.65,31.5,2.06
Riya Nair,PES Public School,Semi-Urban,Male,ST,8,13,2022,Belagavi,Enrolled,Bullying,No Schooling,10000,52.757,79.65,27.8,2.96
Rohan Singh,Assisi Central School,Semi-Urban,Male,OBC,3,8,2023,Bengaluru Urban,Dropout,Family Issues,Higher Secondary,50000,30.45,74.29,31.6,0.78
Pari Roy,Maharishi Public School,Rural,Male,SC,6,11,2018,Shivamogga,Enrolled,Family Issues,Primary,25000,52.757,79.65,48.8,2.5
Ishaan Sharma,Assisi Central School,Rural,Female,SC,1,6,2022,Udupi,Dropout,Child Labour,Graduate,15000,52.757,55.09,22.4,3.21
Arjun Roy,Sri Taralabalu Central School,Semi-Urban,Male,OBC,2,7,2020,Udupi,Dropout,Bullying,Primary,60000,41.44,79.65,28.2,1.4
Ira Verma,Assisi Central School,Urban,Female,OBC,5,10,2020,Udupi,Enrolled,Lack of interest,Secondary,10000,52.757,79.65,20.7,1.53
Vihaan Pai,PES Public School,Rural,Female,General,10,15,2019,Tumakuru,Enrolled,Not applicable,No Schooling,25000,68.23,100,44,3.39
Vivaan Kumar,Sri Taralabalu Central School,Semi-Urban,Female,SC,6,11,2022,Dharwad,Enrolled,Poverty,Graduate,25000,52.757,79.65,42.5,0.76
Aditya Roy,PES Public School,Semi-Urban,Male,SC,5,10,2020,Dakshina Kannada,Enrolled,Financial hardship,Graduate,50000,37.46,79.65,25.4,1.45
Riya Gupta,National Public School,Urban,Male,General,8,13,2021,Belagavi,Enrolled,Not applicable,Secondary,10000,67.74,90.125,31,1.86
Ira Sen,National Public School,Urban,Male,OBC,5,10,2023,Mysuru,Enrolled,Family responsibilities,Graduate,50000,52.757,74.74,49,2.75
Diya Rao,PES Public School,Urban,Male,General,7,12,2020,Bengaluru Urban,Dropout,Health issues,Higher Secondary,10000,52.757,79.5,43.3,1.76
Kabir Ghosh,Assisi Central School,Rural,Female,OBC,5,10,2021,Bengaluru Urban,Enrolled,Long distance to school,Secondary,25000,52.757,66.82,41.8,2.14
Priya Banerjee,Delhi Public School,Rural,Male,General,2,7,2024,Shivamogga,Enrolled,Not applicable,No Schooling,10000,67.74,98.88,22.6,6.36
Aditya Gowda,Freedom International School,Semi-Urban,Male,SC,1,6,2021,Bengaluru Urban,Enrolled,Lack of interest,Primary,60000,52.757,79.65,32.2,0.78
Ayush Seth,New Oxford School,Semi-Urban,Male,General,1,6,2022,Mysuru,Enrolled,Financial hardship,Post-Graduate,100000,51.57,75.63,36.3,0.72
Anvi Gowda,Freedom International School,Semi-Urban,Female,General,1,6,2022,Mysuru,Enrolled,Not applicable,Graduate,25000,67.74,90.125,32.5,2.19
Shreya Gupta,Maharishi Public School,Semi-Urban,Female,SC,4,9,2020,Shivamogga,Enrolled,Not applicable,No Schooling,50000,67.74,90.125,26.1,2.5
Arjun Jain,Jain International School,Urban,Female,General,4,9,2021,Dharwad,Enrolled,Not applicable,No Schooling,10000,67.74,100,38.9,1.63
Pari Gupta,PES Public School,Urban,Male,ST,5,10,2022,Belagavi,Enrolled,Health issues,No Schooling,10000,52.757,79.65,41.8,1.54
Pari Ghosh,Freedom International School,Urban,Male,SC,1,6,2022,Bengaluru Urban,Enrolled,Not applicable,Primary,60000,67.74,100,46.7,2.4
Riya Singh,National Public School,Rural,Female,General,2,7,2024,Mysuru,Enrolled,Not applicable,No Schooling,60000,67.74,90.125,24.4,2.29
Vivaan Patil,Freedom International School,Rural,Male,ST,10,15,2021,Bengaluru Urban,Enrolled,Bullying,Primary,50000,52.757,77.65,26.3,4.67
Aryan Gowda,Maharishi Public School,Rural,Female,General,5,10,2019,Udupi,Enrolled,Bullying,Secondary,10000,46.24,76.68,26.8,5.19
Priya Ghosh,PES Public School,Urban,Male,General,2,7,2023,Ballari,Enrolled,Not applicable,Secondary,50000,67.74,92.68,48.7,2.75
Laksh Iyer,New Oxford School,Urban,Female,SC,9,14,2019,Shivamogga,Enrolled,Not applicable,Higher Secondary,10000,72.94,90.125,30.3,0.37
Saanvi Pandey,Delhi Public School,Rural,Male,SC,7,12,2022,Dharwad,Dropout,Family responsibilities,Graduate,10000,52.757,79.65,44.2,9.55
Rohan Jain,New Oxford School,Rural,Male,SC,8,13,2023,Shivamogga,Dropout,Migration,Primary,15000,48.62,79.36,29.1,5.58
Saanvi Banerjee,Delhi Public School,Rural,Male,General,2,7,2019,Mysuru,Dropout,Other,Graduate,50000,52.757,79.65,37.9,3.27
Rohan Banerjee,National Public School,Semi-Urban,Male,OBC,8,13,2020,Tumakuru,Enrolled,Not applicable,Higher Secondary,15000,67.74,90.125,36.8,0.92
Anvi Das,Maharishi Public School,Urban,Male,General,7,12,2019,Shivamogga,Enrolled,Not applicable,Secondary,10000,67.74,90.125,29.4,2.58
Sneha Verma,Assisi Central School,Rural,Male,OBC,9,14,2024,Bengaluru Urban,Enrolled,Not applicable,Higher Secondary,15000,67.74,90.125,36.7,8.62
